,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,brand
43848,3950,2007,nissan versa,3,4,gas,130205,automatic,hatchback,white,0,nissan
43849,5000,2015,toyota corolla,3,4,gas,235000,manual,sedan,white,0,toyota
43850,16000,2016,kia sorento,3,4,gas,76000,automatic,SUV,black,0,kia
43851,27695,2012,ford f350 super duty,4,8,gas,88510,automatic,truck,unknown,1,ford
43852,5200,2007,honda accord,3,6,gas,137000,automatic,sedan,blue,0,honda
43853,13800,2004,chevrolet silverado 1500,3,8,gas,220962,automatic,pickup,black,1,chevrolet
43854,5900,2013,ford fusion,1,4,gas,98959,automatic,sedan,white,0,ford
43855,12299,2010,toyota tacoma,2,4,gas,83000,manual,truck,white,0,toyota
43856,8800,2017,hyundai elantra,3,4,gas,38902,automatic,sedan,blue,0,hyundai
43857,8900,2014,hyundai elantra,4,4,gas,95669,automatic,hatchback,black,0,hyundai
43858,13500,2011,chevrolet silverado 1500,2,8,gas,77600,automatic,pickup,unknown,0,chevrolet
43859,12000,2014,ram 1500,3,8,gas,161367,automatic,truck,silver,1,ram
43860,4000,2007,toyota camry,3,4,gas,272436,automatic,sedan,silver,0,toyota
43861,19900,2015,chevrolet silverado 1500,2,6,gas,129000,automatic,truck,white,1,chevrolet
43862,24500,2017,ford f150 supercrew cab xlt,2,6,gas,73369,automatic,pickup,silver,1,ford
43863,28900,2015,ford f-150,2,6,gas,117397,automatic,truck,white,1,ford
43864,15900,2018,dodge grand caravan,2,6,gas,51051,automatic,van,unknown,0,dodge
43865,29900,2016,ford f-250 sd,2,8,gas,122466,automatic,truck,grey,1,ford
43866,16900,2011,ram 1500,2,8,gas,65502,automatic,truck,white,1,ram
43867,14900,2009,ford f-150,2,8,gas,113412,automatic,truck,white,0,ford
43868,2800,1996,ford f150,2,6,gas,167125,manual,truck,blue,1,ford
43869,8500,2014,ford focus se,3,4,gas,47000,automatic,sedan,silver,0,ford
43870,6800,2014,hyundai elantra,3,4,gas,85295,manual,sedan,blue,0,hyundai
43871,4800,2005,honda cr-v,3,4,gas,162000,automatic,SUV,brown,1,honda
43872,30000,2014,jeep wrangler unlimited,3,6,gas,74000,automatic,offroad,grey,1,jeep
43873,6700,2015,volkswagen jetta,3,4,gas,80500,automatic,sedan,blue,0,volkswagen
43874,5800,2011,toyota prius,3,4,gas,140520,automatic,hatchback,silver,0,toyota
43875,13900,2017,chevrolet equinox,4,4,gas,44210,automatic,SUV,black,0,chevrolet
43876,5000,2011,ford fusion se,3,4,gas,138000,automatic,sedan,red,0,ford
43877,22990,2016,ford f250,2,8,gas,82601,automatic,pickup,white,0,ford
43878,3000,2007,honda odyssey,2,6,gas,240000,automatic,mini-van,unknown,0,honda
43879,10000,2003,ford f350 super duty,3,8,diesel,205000,automatic,truck,black,1,ford
43880,8600,2006,chevrolet silverado 2500hd,3,8,diesel,383725,automatic,pickup,white,0,chevrolet
43881,6500,2011,chevrolet equinox,3,4,gas,142380,automatic,SUV,black,0,chevrolet
43882,2500,1990,honda accord,3,4,gas,175200,manual,coupe,white,0,honda
43883,5000,2001,jeep grand cherokee,2,6,gas,181000,automatic,SUV,blue,1,jeep
43884,7950,2012,subaru outback,3,4,gas,112120,automatic,wagon,unknown,1,subaru
43885,7395,2016,hyundai elantra,3,4,gas,114000,automatic,sedan,grey,0,hyundai
43886,7495,2012,kia sorento,3,4,gas,123849,automatic,SUV,grey,0,kia
43887,7400,2011,chevrolet silverado 1500,2,8,gas,126865,automatic,truck,blue,0,chevrolet
43888,6995,2006,chevrolet silverado 1500,2,6,gas,156516,automatic,pickup,silver,0,chevrolet
43889,450,2004,jeep grand cherokee,0,8,gas,180000,automatic,SUV,red,1,jeep
43890,3200,2011,nissan versa,3,4,gas,240000,automatic,hatchback,black,0,nissan
